turbine_rating_kw,generator_rating_kw,battery_capacity_kwh,battery_peak_power_kw,fuel_mass_kg,ems_tier_raw,generator_setpoint_kw,target_soc_low,target_soc_high,max_charge_c_rate,ecms_equivalence_factor,ems_tier,neg_endurance_h,fuel_burned_kg,degradation_proxy,neg_efficiency,total_mass_kg,endurance_h,efficiency,mission_success,first_violation,final_soc
63.912333028917885,59.747947790300806,22.75468063376367,110.65935388358918,99.39699771696087,2.595441183158483,69.55967898594358,0.40132511698845763,0.7543250672119846,1.0251176577623142,0.4877110268832501,2,-2.5,59.95172420241275,0.5090838299925599,-0.1904960663111668,934.223545238837,2.5,0.1904960663111668,True,,0.43973254244451554
64.24570689092575,60.22785451184628,27.176985740951984,83.70154191229369,97.74465476490882,2.673705531767615,51.46214856573459,0.3996954451182395,0.9433472696301929,1.1172177221783381,0.4877110268832501,2,-3.825277777777778,88.86517137840035,0.49979843822386594,-0.17818937938875623,952.0852794076897,3.825277777777778,0.17818937938875623,True,,0.9464311886364548
63.915476731212266,59.747947790300806,22.73260560016224,110.65935388358918,99.39699771696087,2.5647682546058626,52.35871609871659,0.40132511698845763,0.7578180493338131,1.0252675816970103,0.4877110268832501,2,-2.5,59.95024596344251,0.5102804105662194,-0.19049961616997954,934.1291386830216,2.5,0.19049961616997954,True,,0.43900991973481945
64.24570689092575,59.73567471779142,27.102497232750668,83.70154191229369,108.87181577758935,2.673705531767615,52.246414968652196,0.3996954451182395,0.9425301885269096,1.1172177221783381,0.4877110268832501,2,-4.420833333333333,99.99326426750179,0.5880869507861867,-0.17737715934970186,962.7655323927204,4.420833333333333,0.17737715934970186,True,,0.9458335004179401
69.38396016707368,60.79644050471397,32.5948326821121,83.70154191229369,97.74465476490882,2.668032133531927,51.46214856573459,0.3996954451182395,0.9384049927390647,1.1170825139165694,0.4877110268832501,2,-3.8205555555555555,88.86920478011926,0.299734372661557,-0.1779402324578771,978.3524088098941,3.8205555555555555,0.1779402324578771,True,,0.9422576590473424
64.52147764063055,60.24012758435567,27.176985740951984,110.65935388358918,97.68888157814034,2.6374292456490687,51.46214856573459,0.4002837911291867,0.943382359712989,1.1172177221783381,0.4877110268832501,2,-3.8219444444444446,88.80855287824156,0.49948844560125116,-0.1781828557744119,952.170459863901,3.8219444444444446,0.1781828557744119,True,,0.9463704693078803
63.912333028917885,59.747947790300806,27.14676679765735,110.65935388358918,99.39699771696087,2.6357573113569797,49.59368460929524,0.40132511698845763,0.7536000399346043,1.0251176577623142,0.4877110268832501,2,-4.021944444444444,90.52442646752368,0.49469980671488206,-0.18099057455563522,953.3195720383748,4.021944444444444,0.18099057455563522,True,,0.7564139472317983
63.912333028917885,59.747947790300806,27.112608747933677,110.65935388358918,99.39699771696087,2.6356851495669575,49.59368460929524,0.40132511698845763,0.7536000399346043,1.0251176577623142,0.4877110268832501,2,-4.0216666666666665,90.52586685978453,0.4964208884777021,-0.18098060956419698,953.1710587787067,4.0216666666666665,0.18098060956419698,True,,0.7566893292916803
70.68292287381614,59.747947790300806,33.0881379907812,105.39849639490015,100.15953252211442,2.6374292456490687,51.46214856573459,0.3997085660899993,0.7585933917846647,1.087474871253725,0.4877110268832501,2,-4.065,91.28235329679296,0.2881838808121893,-0.18078616666721914,983.2994504317334,4.065,0.18078616666721914,True,,0.7621898586967447
63.912333028917885,59.747947790300806,22.75468063376367,110.65935388358918,99.39699771696087,2.6381863113534316,51.22063796754858,0.40132511698845763,0.7543250672119846,1.0251176577623142,0.4877110268832501,2,-2.5,59.95172420241275,0.5090838299925599,-0.1904960663111668,934.223545238837,2.5,0.1904960663111668,True,,0.43973254244451554
69.38396016707368,60.79644050471397,32.5948326821121,110.57140098553182,97.74465476490882,2.6723842683722356,51.46214856573459,0.3996954451182395,0.939682045518341,1.1170825139165694,0.4877110268832501,2,-3.8194444444444446,88.86016607503707,0.3000813975075115,-0.17792403889342204,978.3524088098941,3.8194444444444446,0.17792403889342204,True,,0.9432799589055477
64.24570689092575,60.22785451184628,27.176985740951984,83.70154191229369,97.74465476490882,2.6375964049145035,51.46214856573459,0.3996954451182395,0.9433472696301929,1.1172177221783381,0.520152246780576,2,-3.825,88.93379350020695,0.48087470064247556,-0.17804837740717558,952.0852794076897,3.825,0.17804837740717558,True,,0.9478026384602214
63.915476731212266,59.747947790300806,22.76676364988592,110.65935388358918,86.81847606706977,2.5648404163958842,52.35871609871659,0.40132511698845763,0.7578180493338131,1.0252675816970103,0.4877110268832501,2,-2.5,59.95300036735003,0.5084651596824032,-0.19049295783600112,921.6991302927986,2.5,0.19049295783600112,True,,0.44017644964142233
64.24570689092575,59.74781459736887,27.28439549106073,111.01374156805939,108.80309345443467,2.638974500861867,52.246414968652196,0.3996954451182395,0.9425301885269096,1.1172177221783381,0.4877114988430402,2,-4.417222222222223,99.92303661489528,0.575358429204944,-0.17738543411440513,963.4907070321126,4.417222222222223,0.17738543411440513,True,,0.9459545377394792
64.2502146904292,59.74657081614293,27.102497232750668,83.70154191229369,108.87181577758935,2.6727890105339696,51.51140186271123,0.39943451882112246,0.7532144030627526,1.116828563417461,0.4877110268832501,2,-4.526388888888889,99.9955347300653,0.5137786738793894,-0.17996513092690225,962.7705103170599,4.526388888888889,0.17996513092690225,True,,0.7566033875560307
